Flow Duration,Total Fwd Packets,Total Bwd Packets,Total Length Fwd,Fwd Packet Max,Idle Mean,Label
5482865,5,0,30,6,5481882.0,DDoS
1874027,3,4,26,20,0.0,DDoS
71186039,8,4,56,20,69300000.0,DDoS
1155791,3,6,26,20,0.0,DDoS
80348436,8,6,56,20,76000000.0,DDoS
326123,3,3,26,20,0.0,DDoS
1865010,4,0,24,6,0.0,DDoS
1670590,3,5,26,20,0.0,DDoS
9236768,5,0,30,6,9236763.0,DDoS
517160,3,4,26,20,0.0,DDoS
82420013,8,4,56,20,80500000.0,DDoS
9838936,5,0,30,6,9837912.0,DDoS
744911,3,6,26,20,0.0,DDoS
34760,3,3,26,20,0.0,DDoS
3447896,5,0,30,6,0.0,DDoS
10597712,5,0,30,6,10600000.0,DDoS
75504443,8,6,56,20,36900000.0,DDoS
70267,3,5,26,20,0.0,DDoS
995400,3,5,26,20,0.0,DDoS
10036741,4,0,24,6,10000000.0,DDoS
238946,3,5,26,20,0.0,DDoS
3001932,5,0,30,6,0.0,DDoS
1708485,3,6,26,20,0.0,DDoS
73110141,8,6,56,20,36500000.0,DDoS
699033,3,5,26,20,0.0,DDoS
526092,3,6,26,20,0.0,DDoS
639333,3,6,26,20,0.0,DDoS
805434,3,6,26,20,0.0,DDoS
113864,3,5,26,20,0.0,DDoS
728615,3,4,26,20,0.0,DDoS
984752,3,6,26,20,0.0,DDoS
649123,3,6,26,20,0.0,DDoS
77393533,8,5,56,20,38500000.0,DDoS
14483,3,5,26,20,0.0,DDoS
1838693,2,6,20,20,0.0,DDoS
1624024,3,4,26,20,0.0,DDoS
92372501,9,6,62,20,87600000.0,DDoS
9005798,5,0,30,6,9002780.0,DDoS
1213335,3,6,26,20,0.0,DDoS
90370360,8,6,56,20,90300000.0,DDoS
77043723,8,6,56,20,38500000.0,DDoS
152193,3,5,26,20,0.0,DDoS
708446,3,4,26,20,0.0,DDoS
732443,3,5,26,20,0.0,DDoS
10101732,4,0,24,6,10100000.0,DDoS
728252,3,6,26,20,0.0,DDoS
75184,3,5,26,20,0.0,DDoS
674035,3,5,26,20,0.0,DDoS
1239707,3,5,26,20,0.0,DDoS
98996,3,5,26,20,0.0,DDoS
294996,4,0,24,6,0.0,DDoS
80355546,9,4,62,20,40100000.0,DDoS
218044,3,4,26,20,0.0,DDoS
8126905,5,0,30,6,8125945.0,DDoS
34886,3,6,26,20,0.0,DDoS
87674297,8,5,56,20,43800000.0,DDoS
21969,3,5,26,20,0.0,DDoS
1792966,3,6,26,20,0.0,DDoS
98161968,8,5,56,20,96300000.0,DDoS
5238898,5,0,30,6,5235084.0,DDoS
71912,3,6,26,20,0.0,DDoS
615514,3,6,26,20,0.0,DDoS
493931,3,4,26,20,0.0,DDoS
11092733,4,0,24,6,11100000.0,DDoS
94606,3,6,26,20,0.0,DDoS
1248674,3,5,26,20,0.0,DDoS
7581852,5,0,30,6,7578980.0,DDoS
6272331,4,0,24,6,6271674.0,DDoS
762031,4,0,24,6,0.0,DDoS
37062,3,5,26,20,0.0,DDoS
80934473,8,4,56,20,40400000.0,DDoS
1216784,3,7,26,20,0.0,DDoS
3916065,5,0,30,6,0.0,DDoS
1855441,3,6,26,20,0.0,DDoS
1340057,3,4,26,20,0.0,DDoS
1703853,3,5,26,20,0.0,DDoS
23075221,5,0,30,6,23100000.0,DDoS
700282,3,5,26,20,0.0,DDoS
74882911,8,6,56,20,37100000.0,DDoS
85605,3,6,26,20,0.0,DDoS
10810727,4,0,24,6,10800000.0,DDoS
1489670,3,5,26,20,0.0,DDoS
82068995,8,4,56,20,78900000.0,DDoS
80909692,8,6,56,20,40400000.0,DDoS
115817,3,6,26,20,0.0,DDoS
82235883,8,4,56,20,40300000.0,DDoS
9929771,5,0,30,6,9928771.0,DDoS
1399960,3,5,26,20,0.0,DDoS
816645,3,6,26,20,0.0,DDoS
11835666,4,0,24,6,11800000.0,DDoS
11910645,4,0,24,6,11900000.0,DDoS
1494632,3,6,26,20,0.0,DDoS
1284979,3,5,26,20,0.0,DDoS
412331,3,5,26,20,0.0,DDoS
9575475,7,5,50,20,8172746.0,DDoS
1031521,3,6,26,20,0.0,DDoS
116287,3,6,26,20,0.0,DDoS
146054,4,0,24,6,0.0,DDoS
34618,3,5,26,20,0.0,DDoS
1366081,3,5,26,20,0.0,DDoS
80430537,8,5,56,20,39700000.0,DDoS
5108934,5,0,30,6,5105940.0,DDoS
231590,3,6,26,20,0.0,DDoS
16157,2,4,20,20,0.0,DDoS
80774307,9,4,62,20,80000000.0,DDoS
92534690,8,6,56,20,87600000.0,DDoS
8100741,5,0,30,6,8098760.0,DDoS
80891932,8,5,56,20,40400000.0,DDoS
81880175,8,4,56,20,80100000.0,DDoS
90935653,9,7,62,20,86100000.0,DDoS
6030526,4,0,24,6,6028793.0,DDoS
34367,2,8,20,20,0.0,DDoS
9567733,4,0,24,6,9567240.0,DDoS
77041,5,0,30,6,0.0,DDoS
74141891,8,6,56,20,36600000.0,DDoS
319311,3,5,26,20,0.0,DDoS
8053605,4,0,24,6,8051782.0,DDoS
10053746,4,0,24,6,10100000.0,DDoS
12029762,4,0,24,6,12000000.0,DDoS
1064806,3,4,26,20,0.0,DDoS
1766078,3,7,26,20,0.0,DDoS
2191000,5,0,30,6,0.0,DDoS
105393,3,4,26,20,0.0,DDoS
576177,3,6,26,20,0.0,DDoS
1798981,5,0,30,6,0.0,DDoS
419023,3,7,26,20,0.0,DDoS
68127,3,6,26,20,0.0,DDoS
543084,3,5,26,20,0.0,DDoS
577267,3,4,26,20,0.0,DDoS
73389464,8,6,56,20,36000000.0,DDoS
102489128,8,6,56,20,50400000.0,DDoS
82060850,8,6,56,20,40300000.0,DDoS
4221918,5,0,30,6,0.0,DDoS
1203701,3,4,26,20,0.0,DDoS
446227,3,6,26,20,0.0,DDoS
496245,3,6,26,20,0.0,DDoS
2154018,4,0,24,6,0.0,DDoS
265017,3,5,26,20,0.0,DDoS
476468,3,4,26,20,0.0,DDoS
260930,3,6,26,20,0.0,DDoS
79690,3,5,26,20,0.0,DDoS
236182,3,6,26,20,0.0,DDoS
53157,3,4,26,20,0.0,DDoS
6052625,5,0,30,6,6050631.0,DDoS
5111747,4,0,24,6,5111745.0,DDoS
1124821,3,5,26,20,0.0,DDoS
1807199,3,6,26,20,0.0,DDoS
1999906,5,0,30,6,0.0,DDoS
893726,3,5,26,20,0.0,DDoS
1060423,3,6,26,20,0.0,DDoS
69828,3,4,26,20,0.0,DDoS
1248396,3,6,26,20,0.0,DDoS
42003,3,5,26,20,0.0,DDoS
1603979,4,0,24,6,0.0,DDoS
142121,3,4,26,20,0.0,DDoS
72024138,9,5,62,20,35700000.0,DDoS
100225094,8,5,56,20,50100000.0,DDoS
4814903,5,0,30,6,0.0,DDoS
910053,3,4,26,20,0.0,DDoS
35826,3,6,26,20,0.0,DDoS
1418545,3,5,26,20,0.0,DDoS
1804407,3,4,26,20,0.0,DDoS
1661923,3,5,26,20,0.0,DDoS
7310863,5,0,30,6,7308858.0,DDoS
833954,3,6,26,20,0.0,DDoS
3537633,4,0,24,6,0.0,DDoS
444062,5,0,30,6,0.0,DDoS
4994901,5,0,30,6,0.0,DDoS
5972877,4,0,24,6,5968847.0,DDoS
100592,3,5,26,20,0.0,DDoS
752005,3,6,26,20,0.0,DDoS
4444903,5,0,30,6,0.0,DDoS
242154,4,0,24,6,0.0,DDoS
1728725,3,5,26,20,0.0,DDoS
4077883,5,0,30,6,0.0,DDoS
50246,3,5,26,20,0.0,DDoS
888695,3,5,26,20,0.0,DDoS
80712,3,6,26,20,0.0,DDoS
6088874,4,0,24,6,6087865.0,DDoS
1092214,3,5,26,20,0.0,DDoS
833300,3,4,26,20,0.0,DDoS
366305,3,5,26,20,0.0,DDoS
5917880,4,0,24,6,5917875.0,DDoS
10439720,4,0,24,6,10400000.0,DDoS
78640176,8,5,56,20,72500000.0,DDoS
198662,3,5,26,20,0.0,DDoS
189150,3,5,26,20,0.0,DDoS
513947,3,6,26,20,0.0,DDoS
17258,3,4,26,20,0.0,DDoS
6209868,4,0,24,6,6209866.0,DDoS
9924721,4,0,24,6,9923707.0,DDoS
5656484,4,0,24,6,5655795.0,DDoS
12030700,5,0,30,6,12000000.0,DDoS
6063855,5,0,30,6,6060846.0,DDoS
320493,3,6,26,20,0.0,DDoS
1586464,3,5,26,20,0.0,DDoS
77154611,8,5,56,20,72500000.0,DDoS
1038715,3,7,26,20,0.0,DDoS
82455014,8,4,56,20,41100000.0,DDoS
11975627,4,0,24,6,12000000.0,DDoS
